연월,시군구명,읍면동명,업종명,성별,이용자수,이용금액
2018-01-01,제주시,아라동,차량용 주유소 운영업,남성,3954,205339045
2018-01-01,제주시,삼도1동,차량용 주유소 운영업,남성,490,29469792
2018-01-01,제주시,삼도2동,육류 소매업,여성,89,2386740
2018-01-01,제주시,삼도1동,스포츠 및 레크레이션 용품 임대업,남성,106,12517300
2018-01-01,제주시,삼도1동,수산물 소매업,남성,37,2621000
2018-01-01,제주시,봉개동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,34,360200
2018-01-01,제주시,봉개동,한식 음식점업,여성,546,17997000
2018-01-01,제주시,봉개동,휴양콘도 운영업,여성,702,85885900
2018-01-01,제주시,삼도1동,건강보조식품 소매업,남성,33,4724580
2018-01-01,제주시,삼도1동,과실 및 채소 소매업,남성,58,7194000
2018-01-01,제주시,삼도1동,관광 민예품 및 선물용품 소매업,남성,11,4931000
2018-01-01,제주시,삼도1동,슈퍼마켓,남성,9747,230757020
2018-01-01,제주시,삼도1동,그외 기타 종합 소매업,남성,3,2400000
2018-01-01,제주시,삼도1동,기타 주점업,남성,534,94945000
2018-01-01,제주시,삼도1동,기타음식료품위주종합소매업,남성,41,684600
2018-01-01,제주시,삼도1동,마사지업,남성,1,16000
2018-01-01,제주시,삼도1동,비알콜 음료점업,남성,76,727800
2018-01-01,제주시,삼도1동,빵 및 과자류 소매업,남성,718,9202870
2018-01-01,제주시,삼도1동,서양식 음식점업,남성,382,5800840
2018-01-01,제주시,삼도1동,기타 외국식 음식점업,남성,117,1688500
2018-01-01,제주시,애월읍,골프장 운영업,여성,132,28214900
2018-01-01,제주시,삼도2동,일반유흥 주점업,여성,10,984000
2018-01-01,제주시,삼도2동,중식 음식점업,여성,309,8006500
2018-01-01,제주시,삼도1동,건강보조식품 소매업,여성,58,7459190
2018-01-01,제주시,삼도1동,화장품 및 방향제 소매업,남성,68,7080850
2018-01-01,제주시,삼도1동,호텔업,남성,142,44386651
2018-01-01,제주시,삼도1동,한식 음식점업,남성,5369,183289264
2018-01-01,제주시,봉개동,비알콜 음료점업,남성,208,2000400
2018-01-01,제주시,봉개동,빵 및 과자류 소매업,남성,130,959500
2018-01-01,제주시,봉개동,서양식 음식점업,남성,97,2775100
2018-01-01,제주시,봉개동,중식 음식점업,여성,58,1447500
2018-01-01,제주시,봉개동,슈퍼마켓,남성,2729,59683200
2018-01-01,제주시,봉개동,스포츠 및 레크레이션 용품 임대업,남성,10,269000
2018-01-01,제주시,봉개동,여관업,남성,66,1735870
2018-01-01,제주시,봉개동,육류 소매업,남성,53,6943100
2018-01-01,제주시,봉개동,중식 음식점업,남성,157,3461500
2018-01-01,제주시,봉개동,차량용 가스 충전업,남성,28,2369790
2018-01-01,제주시,봉개동,차량용 주유소 운영업,남성,3224,217944189
2018-01-01,제주시,화북동,화장품 및 방향제 소매업,여성,321,15037910
2018-01-01,제주시,봉개동,차량용 가스 충전업,여성,20,926000
2018-01-01,제주시,봉개동,차량용 주유소 운영업,여성,1512,89288037
2018-01-01,제주시,봉개동,체인화 편의점,여성,1992,21921640
2018-01-01,제주시,삼도1동,여행사업,남성,1,47850
2018-01-01,제주시,삼도1동,욕탕업,남성,178,12715600
2018-01-01,제주시,삼도1동,육류 소매업,남성,227,17416000
2018-01-01,제주시,삼도1동,일반유흥 주점업,남성,331,109080000
2018-01-01,제주시,삼도1동,일식 음식점업,남성,287,20593000
2018-01-01,제주시,삼도1동,자동차 임대업,남성,3,350000
2018-01-01,제주시,삼도1동,여관업,남성,447,22287000
2018-01-01,제주시,삼도1동,중식 음식점업,남성,410,9731500
2018-01-01,제주시,삼도1동,체인화 편의점,남성,7668,68884550
2018-01-01,제주시,삼도1동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,170,3451500
2018-01-01,제주시,아라동,차량용 가스 충전업,남성,64,5710860
2018-01-01,제주시,아라동,중식 음식점업,남성,1176,32258800
2018-01-01,제주시,아라동,일식 음식점업,남성,1013,51761000
2018-01-01,제주시,아라동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,2454,34702545
2018-01-01,제주시,애월읍,중식 음식점업,남성,677,18356500
2018-01-01,제주시,애월읍,차량용 가스 충전업,남성,164,17151210
2018-01-01,제주시,애월읍,차량용 주유소 운영업,남성,13170,1046998736
2018-01-01,제주시,애월읍,체인화 편의점,남성,20861,219339120
2018-01-01,제주시,애월읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,71,2334800
2018-01-01,제주시,애월읍,한식 음식점업,남성,13598,532746379
2018-01-01,제주시,애월읍,호텔업,남성,12,1625000
2018-01-01,제주시,애월읍,화장품 및 방향제 소매업,남성,78,4173300
2018-01-01,제주시,봉개동,기타 외국식 음식점업,남성,225,5421000
2018-01-01,제주시,애월읍,휴양콘도 운영업,남성,23,3405000
2018-01-01,제주시,아라동,한식 음식점업,남성,15807,601542040
2018-01-01,제주시,아라동,체인화 편의점,남성,25995,242176290
2018-01-01,제주시,아라동,육류 소매업,여성,1146,31850280
2018-01-01,제주시,아라동,한식 음식점업,여성,10092,349005024
2018-01-01,제주시,아라동,기타 외국식 음식점업,남성,833,23338300
2018-01-01,제주시,아라동,그외 기타 종합 소매업,남성,3,1700000
2018-01-01,제주시,아라동,관광 민예품 및 선물용품 소매업,남성,11,355470
2018-01-01,제주시,아라동,과실 및 채소 소매업,남성,214,12143350
2018-01-01,제주시,아라동,골프장 운영업,남성,261,26421950
2018-01-01,제주시,아라동,화장품 및 방향제 소매업,여성,176,5915900
2018-01-01,제주시,아라동,차량용 가스 충전업,여성,53,6557950
2018-01-01,제주시,아라동,차량용 주유소 운영업,여성,2227,103977058
2018-01-01,제주시,아라동,체인화 편의점,여성,15397,152442607
2018-01-01,제주시,애월읍,전시 및 행사 대행업,남성,426,9592150
2018-01-01,제주시,애월읍,자동차 임대업,남성,188,7921100
2018-01-01,제주시,애월읍,일식 음식점업,남성,402,34322800
2018-01-01,제주시,애월읍,일반유흥 주점업,남성,9,900000
2018-01-01,제주시,아라동,육류 소매업,남성,1068,30531110
2018-01-01,제주시,아라동,욕탕업,남성,42,309500
2018-01-01,제주시,아라동,여행사업,남성,3,84000
2018-01-01,제주시,아라동,여관업,남성,123,10642830
2018-01-01,제주시,아라동,스포츠 및 레크레이션 용품 임대업,남성,60,6557400
2018-01-01,제주시,아라동,슈퍼마켓,남성,11963,243805262
2018-01-01,제주시,아라동,수산물 소매업,남성,12,8770500
2018-01-01,제주시,아라동,서양식 음식점업,남성,3365,77646930
2018-01-01,제주시,아라동,빵 및 과자류 소매업,남성,2715,36520420
2018-01-01,제주시,아라동,비알콜 음료점업,남성,2042,19218860
2018-01-01,제주시,아라동,마사지업,남성,1,55000
2018-01-01,제주시,아라동,전시 및 행사 대행업,남성,3,547000
2018-01-01,제주시,아라동,기타음식료품위주종합소매업,남성,1938,67343670
2018-01-01,제주시,아라동,일식 음식점업,여성,900,38479400
2018-01-01,제주시,아라동,전시 및 행사 대행업,여성,2,64000
2018-01-01,제주시,아라동,중식 음식점업,여성,682,19693900
2018-01-01,제주시,애월읍,과실 및 채소 소매업,남성,285,21032800
2018-01-01,제주시,애월읍,골프장 운영업,남성,515,79973990
2018-01-01,제주시,애월읍,건강보조식품 소매업,남성,2,105000
2018-01-01,제주시,아라동,화장품 및 방향제 소매업,남성,72,3276050
2018-01-01,제주시,애월읍,슈퍼마켓,남성,4408,105560980
2018-01-01,제주시,애월읍,스포츠 및 레크레이션 용품 임대업,남성,386,13123100
2018-01-01,제주시,애월읍,여관업,남성,1087,98066021
2018-01-01,제주시,애월읍,육류 소매업,남성,314,16711410
2018-01-01,제주시,아라동,기타 주점업,남성,42,3658000
2018-01-01,제주시,용담2동,서양식 음식점업,남성,834,29655540
2018-01-01,제주시,삼도2동,한식 음식점업,남성,7709,298983302
2018-01-01,제주시,봉개동,체인화 편의점,남성,4514,50604520
2018-01-01,제주시,외도동,중식 음식점업,여성,402,9767000
2018-01-01,제주시,외도동,전시 및 행사 대행업,여성,8,1870000
2018-01-01,제주시,외도동,자동차 임대업,여성,191,16552400
2018-01-01,제주시,외도동,일식 음식점업,여성,152,11607400
2018-01-01,제주시,외도동,여관업,여성,427,17256100
2018-01-01,제주시,외도동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,1534,22457670
2018-01-01,제주시,외도동,차량용 가스 충전업,여성,446,23963913
2018-01-01,제주시,외도동,스포츠 및 레크레이션 용품 임대업,여성,31,1435900
2018-01-01,제주시,외도동,수산물 소매업,여성,69,4385000
2018-01-01,제주시,외도동,서양식 음식점업,여성,1289,29483600
2018-01-01,제주시,외도동,빵 및 과자류 소매업,여성,2126,26530263
2018-01-01,제주시,외도동,비알콜 음료점업,여성,401,4597120
2018-01-01,제주시,외도동,체인화 편의점,여성,5026,54622140
2018-01-01,제주시,외도동,한식 음식점업,여성,4560,148321800
2018-01-01,제주시,외도동,슈퍼마켓,여성,7828,205422280
2018-01-01,제주시,오라동,자동차 임대업,여성,215,11308300
2018-01-01,제주시,외도동,차량용 주유소 운영업,여성,1397,85249693
2018-01-01,제주시,애월읍,과실 및 채소 소매업,여성,280,16782000
2018-01-01,제주시,삼도1동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,122,2674400
2018-01-01,제주시,삼도1동,한식 음식점업,여성,2772,85626460
2018-01-01,제주시,삼도1동,호텔업,여성,89,9257911
2018-01-01,제주시,삼도1동,화장품 및 방향제 소매업,여성,79,10006400
2018-01-01,제주시,삼도2동,건강보조식품 소매업,남성,2,106000
2018-01-01,제주시,삼도2동,과실 및 채소 소매업,남성,32,1033000
2018-01-01,제주시,외도동,육류 소매업,여성,182,27769360
2018-01-01,제주시,삼도2동,관광 민예품 및 선물용품 소매업,남성,32,1014000
2018-01-01,제주시,삼도2동,그외 기타 종합 소매업,남성,3,1060000
2018-01-01,제주시,삼도2동,기타 대형 종합 소매업,남성,9827,711295060
2018-01-01,제주시,삼도2동,기타 외국식 음식점업,남성,213,11319100
2018-01-01,제주시,삼도2동,기타 주점업,남성,237,38065999
2018-01-01,제주시,애월읍,건강보조식품 소매업,여성,3,430000
2018-01-01,제주시,삼도2동,체인화 편의점,여성,5076,53814630
2018-01-01,제주시,삼도2동,그외 기타 스포츠시설 운영업,남성,2,323000
2018-01-01,제주시,용담1동,비알콜 음료점업,여성,16,271000
2018-01-01,제주시,용담1동,여관업,여성,39,1901000
2018-01-01,제주시,용담1동,스포츠 및 레크레이션 용품 임대업,여성,6,211000
2018-01-01,제주시,외도동,기타 주점업,남성,54,9880000
2018-01-01,제주시,외도동,기타 외국식 음식점업,남성,535,14645200
2018-01-01,제주시,외도동,과실 및 채소 소매업,남성,47,2635400
2018-01-01,제주시,외도동,과실 및 채소 소매업,여성,61,10129100
2018-01-01,제주시,외도동,건강보조식품 소매업,남성,8,2857900
2018-01-01,제주시,오라동,화장품 및 방향제 소매업,여성,9,3811900
2018-01-01,제주시,외도동,비알콜 음료점업,남성,268,2882410
2018-01-01,제주시,오라동,한식 음식점업,여성,6371,204094400
2018-01-01,제주시,오라동,차량용 주유소 운영업,여성,3355,165366877
2018-01-01,제주시,오라동,차량용 가스 충전업,여성,141,7910980
2018-01-01,제주시,외도동,수산물 소매업,남성,86,5658000
2018-01-01,제주시,외도동,슈퍼마켓,남성,8679,199390780
2018-01-01,제주시,외도동,스포츠 및 레크레이션 용품 임대업,남성,65,2115600
2018-01-01,제주시,외도동,여관업,남성,642,18720600
2018-01-01,제주시,오라동,체인화 편의점,여성,3017,26010840
2018-01-01,제주시,외도동,빵 및 과자류 소매업,남성,1597,22563600
2018-01-01,제주시,외도동,서양식 음식점업,남성,1106,29699320
2018-01-01,제주시,외도동,그외 기타 종합 소매업,남성,1,400000
